chain, dex, timestamp, pair, token0, token1
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424434, 0x400Cb2A8eBb2a9975E83e809B98d300b54A042c8, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0xDEB95D4Da6bD70D90436CB34F439bF32e17a5C80
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424487, 0x46303a288088d2aB8829ed1a89f00bC58331056A, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0x4f9395fB4676B2df5C5D53525E92C131699Be2df
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424492, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0xc0271fC6bc65e3Edb22E598bdC5AF4c2B86D7399, 0xa36273796A92419E05eC053542416E95F1C47a52
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424612, 0xa4f6d9173B42039a5BbbE10B4905194827FC3d6c, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0x441927c0960e127458F63143a8DA937FdCc489c9
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424617, 0x55d398326f99059fF775485246999027B3197955, 0xd52499602d57EFA6CfBE0c03E2842Af36eb9bEd6, 0x2e3389d8372D37F0D870843f231B71C6e97D823e
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424619, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0xcC9Fe2947886F57E9774cdF3e4dCC6e1DDd07951, 0x7BCF494E71a047406279d21Bf3667b9B19D53371
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424622, 0x4F5774F959661ce84BF50c4a54d6E9B6eF875d1d, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0x77D6F665B926d568203c921b769b26dC6e3777a3
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424668, 0xBb068190Bf147c76F64FDb626ae2777aE71d7959, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0x3a8970f6602B063E0B0f96644c4A6c0f6195a545
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424680, 0x1BA856E8D7DF4EBD0E568654eaF7859455d33fcB, 0x55d398326f99059fF775485246999027B3197955, 0xFB251085811528C4223445a2808E5c2AF596D1D5
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424682, 0x152Dc2eAF1a2140724001C642a40DBfa3Bd5Abc5, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0x327d395D928DC7D02A7306ca2B4C58658E351BB7
56, 0xca143ce32fe78f1f7019d7d551a6402fc5350c73, 20424684, 0x6023293FB80818e7C6F5d6767C2B23479439F8B3, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0xBcDAec639E662Ebb32727736Abb975242Ef31267
